page,page_type,IssueType,Severity,AuditStatus,BusinessPriorityScore,PriorityTier,WhyItMatters,RecommendedFix,ResponsibleTeam,ValidationMethod,ObservedValue,CommerceScore,SEOOpportunityScore,Revenue,Purchases,AddToCarts
https://demo.example.com/page-012,Demo Category 01,Structured Data Missing,Medium,Audited,50.73,P3 Medium,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,37.681697612732094,52.43660477453581,0.0,0.0,0.0
https://demo.example.com/page-010,Demo Category 01,Images Missing Alt Text,Low,Audited,49.34,P3 Medium,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,91.0450928381963,62.84190981432361,3922.6067655899997,2.02,13.649999999999999
https://demo.example.com/page-003,Demo Category 01,Structured Data Missing,Medium,Audited,49.03,P3 Medium,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,37.681697612732094,43.00557029177719,0.0,0.0,0.0
https://demo.example.com/page-004,Demo Category 01,Structured Data Missing,Medium,Audited,49.03,P3 Medium,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,37.681697612732094,43.00557029177719,0.0,0.0,0.0
https://demo.example.com/page-008,Demo Category 01,Structured Data Missing,Medium,Audited,47.99,P3 Medium,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,37.681697612732094,37.236604774535806,0.0,0.0,0.0
https://demo.example.com/page-002,Demo Category 01,Structured Data Missing,Medium,Audited,44.47,P4 Low,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,37.681697612732094,17.671352785145885,0.0,0.0,0.0
https://demo.example.com/page-005,Demo Category 01,Structured Data Missing,Medium,Audited,43.99,P4 Low,Relevant structured data helps search and answer systems interpret page entities and eligible rich-result attributes.,"Implement valid schema appropriate to the page type (for example Product, BreadcrumbList, Article where genuinely applicable). Do not add unsupported markup.",Development / SEO,Validate with Schema.org/Google rich-result tools and re-crawl rendered structured data.,nan,37.681697612732094,15.005570291777186,0.0,0.0,0.0
https://demo.example.com/page-006,Demo Category 01,Images Missing Alt Text,Low,Audited,40.75,P4 Low,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,50.679045092838194,64.44933687002653,0.0,0.0,23.659999999999997
https://demo.example.com/page-011,Demo Category 01,Images Missing Alt Text,Low,Audited,40.49,P4 Low,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,46.36604774535809,68.26657824933687,0.0,0.0,3.6399999999999997
https://demo.example.com/page-014,Demo Category 01,Images Missing Alt Text,Low,Audited,39.85,P4 Low,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,46.90185676392573,64.07214854111406,0.0,0.0,4.55
https://demo.example.com/page-009,Demo Category 01,Images Missing Alt Text,Low,Audited,38.28,P4 Low,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,46.90185676392573,55.34694960212201,0.0,0.0,4.55
https://demo.example.com/page-013,Demo Category 01,Images Missing Alt Text,Low,Audited,37.59,P4 Low,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,49.06631299734748,48.87877984084881,0.0,0.0,10.919999999999998
https://demo.example.com/page-015,Demo Category 01,Images Missing Alt Text,Low,Audited,36.12,P4 Low,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,37.681697612732094,54.6315649867374,0.0,0.0,0.0
https://demo.example.com/page-012,Demo Category 01,Images Missing Alt Text,Low,Audited,35.73,P4 Low,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,37.681697612732094,52.43660477453581,0.0,0.0,0.0
https://demo.example.com/page-003,Demo Category 01,Images Missing Alt Text,Low,Audited,34.03,P4 Low,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,37.681697612732094,43.00557029177719,0.0,0.0,0.0
https://demo.example.com/page-004,Demo Category 01,Images Missing Alt Text,Low,Audited,34.03,P4 Low,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,37.681697612732094,43.00557029177719,0.0,0.0,0.0
https://demo.example.com/page-008,Demo Category 01,Images Missing Alt Text,Low,Audited,32.99,P4 Low,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,37.681697612732094,37.236604774535806,0.0,0.0,0.0
https://demo.example.com/page-002,Demo Category 01,Images Missing Alt Text,Low,Audited,29.47,P4 Low,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,37.681697612732094,17.671352785145885,0.0,0.0,0.0
https://demo.example.com/page-005,Demo Category 01,Images Missing Alt Text,Low,Audited,28.99,P4 Low,Missing alternative text reduces accessibility and image/entity context.,"Add concise, meaningful alt text to informative images; keep decorative images empty where appropriate.",Content / Development,Re-crawl image alt coverage and spot-check rendered HTML/accessibility.,12,37.681697612732094,15.005570291777186,0.0,0.0,0.0
